"Feature","Gain","Cover","Frequency"
"ydstogo",0.404763259684005,0.287829084559959,0.15850144092219
"rush_attempt",0.157426461516013,0.144648547982401,0.0778097982708934
"total_line",0.0306965060137397,0.0401052527300172,0.0384245917387128
"CB1_man_grades_coverage_defense_12w",0.0256977487315783,0.0451653112740774,0.0365033621517771
"down2_pct",0.0186873072016934,0.0237235605016215,0.0326609029779059
"team_win_pct",0.0176494227977371,0.0251224914018796,0.0288184438040346
"time_in_half",0.0170072289508252,0.0352446298675735,0.0249759846301633
"prev_iform_success",0.0142876386394016,0.0168678882866259,0.0230547550432277
"vegas_wp",0.0131545161259626,0.0243516421717682,0.0230547550432277
"cover3_rate",0.0129735424254367,0.0179223607627099,0.021133525456292
"prevent_rate",0.0126661206788582,0.0131994608949688,0.0201729106628242
"DL4_grades_pass_rush_defense_12w",0.0119546984056071,0.0139101171707928,0.0201729106628242
"avg_pass_rushers",0.0103580581746778,0.00763328329343928,0.0201729106628242
"down1_pct",0.0102315806725854,0.0109801858697318,0.0163304514889529
"DL1_grades_run_defense_12w",0.00921547017324932,0.017033268343443,0.0172910662824208
"QB_grades_pass_12w",0.00908070037515267,0.0141991652851288,0.0153698366954851
"WR1_grades_offense_12w",0.00863707390053873,0.00989349787354288,0.0153698366954851
"two_man_rate",0.00807176115910619,0.00883625747157958,0.0115273775216138
"cover6_rate",0.00784144101750496,0.00973639125890251,0.0124879923150817
"spread_line",0.00756997836271328,0.0128374241807541,0.0134486071085495
"LB1_grades_run_defense_12w",0.00634576767499885,0.0112557450622003,0.010566762728146
"yardline_1_10",0.00612308295971437,0.0158887528190657,0.010566762728146
"LB2_man_grades_coverage_defense_12w",0.00607034865326146,0.0111459077554065,0.010566762728146
"OL1_grades_offense_12w",0.00570690404378669,0.00427766630094598,0.0144092219020173
"prev_empty_success",0.00550859756784131,0.00594293145385324,0.00864553314121038
"prev_stop_rate_pass",0.00525422067853537,0.00545172893466003,0.00960614793467819
"RB_grades_run_12w",0.00520030728888932,0.00633457187893631,0.00960614793467819
"LB2_zone_grades_coverage_defense_12w",0.00505484705234809,0.00603533067962926,0.00864553314121038
"avg_box_defenders",0.00479429196909437,0.00536642598718096,0.00864553314121038
"CB2_zone_grades_coverage_defense_12w",0.00475614176874704,0.00697339748163957,0.00864553314121038
"DL2_grades_run_defense_12w",0.00463581510856549,0.00548980289825948,0.00864553314121038
"S1_zone_grades_coverage_defense_12w",0.00453707257194773,0.0016851988805412,0.00960614793467819
"wind",0.00423556433575942,0.00627718236521488,0.00672430355427474
"DL1_grades_pass_rush_defense_12w",0.00412040763136335,0.00714710869199884,0.00768491834774256
"prev_iform_rate",0.00411128846224182,0.0048888581480478,0.00672430355427474
"temp",0.00404144440467076,0.00797105903743637,0.00672430355427474
"shotgun_rate",0.00389804146210928,0.00545477542886164,0.00672430355427474
"def_stop_rate_pass",0.00365810728991788,0.00476549751453393,0.00672430355427474
"prev_shotgun_rate",0.00359669397173816,0.00105374340766284,0.00672430355427474
"CB2_man_grades_coverage_defense_12w",0.0035568449994955,0.00297948705182358,0.00672430355427474
"down3_pct",0.00344706444316351,0.00520341875535592,0.00672430355427474
"down4_pct",0.00341642847856918,0.00208705088782792,0.00768491834774256
"LB1_zone_grades_coverage_defense_12w",0.00334489595871672,0.00365300365926452,0.00672430355427474
"prev_singleback_rate",0.00324748588709934,0.00238787193576739,0.00768491834774256
