"Feature","Gain","Cover","Frequency"
"ydstogo",0.371729039797613,0.265409693523384,0.143407122232916
"rush_attempt",0.148326821544792,0.132571873152135,0.0702598652550529
"total_line",0.0249490695159079,0.0327226306654171,0.0288739172281039
"starter_CB2_grades_run_defense_12w",0.0231464289827598,0.0369024932655023,0.0298363811357074
"time_in_half",0.0185851161262711,0.0330189344302135,0.026948989412897
"team_win_pct",0.0183596494254393,0.0222706055764964,0.0279114533205005
"vegas_wp",0.0179457613728117,0.0264799158970042,0.0288739172281039
"starter_DL3_grades_run_defense_12w",0.0158704913843044,0.0256252815709858,0.0250240615976901
"cover3_rate",0.013211618571624,0.0132281773753245,0.0202117420596728
"down2_pct",0.0121702277560795,0.0161568652894965,0.0202117420596728
"prevent_rate",0.0114920343568434,0.0138740016728982,0.0163618864292589
"prev_iform_success",0.0110884864687629,0.0132604688872049,0.0163618864292589
"starter_CB1_zone_grades_coverage_defense_12w",0.0105374997147242,0.0141875939077481,0.0153994225216554
"starter_CB3_man_grades_coverage_defense_12w",0.00987771329344227,0.00720342177330486,0.0182868142444658
"starter_WR3_grades_offense_12w",0.00948341249640207,0.00944477494467004,0.0153994225216554
"down1_pct",0.00928981415507524,0.0115907304214409,0.0153994225216554
"starter_S1_grades_run_defense_12w",0.00923974948897123,0.0115612596833851,0.014436958614052
"starter_OL5_grades_offense_12w",0.00913268786040815,0.00695364852529416,0.012512030798845
"starter_DL4_grades_pass_rush_defense_12w",0.00859795561019067,0.0111773225914291,0.014436958614052
"starter_LB2_grades_run_defense_12w",0.00851406006003125,0.0199908857230921,0.012512030798845
"yardline_1_10",0.00824780168635153,0.0162419043066421,0.0134744947064485
"starter_WR1_grades_offense_12w",0.00788095982828012,0.017685011898327,0.0115495668912416
"two_man_rate",0.00772754445772988,0.00778786249813397,0.0105871029836381
"prev_empty_success",0.0066783924749247,0.00711071342927461,0.0105871029836381
"avg_pass_rushers",0.00644355651093466,0.00451536390922922,0.0115495668912416
"starter_LB1_zone_grades_coverage_defense_12w",0.00609884895967091,0.00496586762517575,0.0105871029836381
"starter_OL4_grades_offense_12w",0.00598156415823545,0.00716431110195999,0.0105871029836381
"starter_CB2_zone_grades_coverage_defense_12w",0.0058152594133999,0.00694319554979973,0.0115495668912416
"starter_S2_grades_run_defense_12w",0.00571442467751496,0.0131852190467121,0.00962463907603465
"starter_QB_grades_pass_12w",0.00568522079260849,0.00880324603445494,0.00962463907603465
"starter_CB1_grades_run_defense_12w",0.00566958578344846,0.00816446067761758,0.0105871029836381
"avg_box_defenders",0.00560370954141339,0.00571230793754376,0.00866217516843118
"starter_OL1_grades_offense_12w",0.0051841294768639,0.00620444015690659,0.00962463907603465
"starter_CB3_zone_grades_coverage_defense_12w",0.00489284265546454,0.00651143672608537,0.00866217516843118
"cover4_rate",0.00470946101145613,0.004043582247641,0.00769971126082772
"prev_shotgun_success",0.00463532930154224,0.00449186439073064,0.00769971126082772
"starter_CB1_man_grades_coverage_defense_12w",0.00455126409186934,0.00711865451273198,0.00673724735322425
"starter_S3_grades_run_defense_12w",0.00442880316431,0.00373618361238536,0.00769971126082772
"starter_LB1_grades_run_defense_12w",0.00441432037204944,0.00432724302051871,0.00769971126082772
"starter_DL2_grades_pass_rush_defense_12w",0.00428329530853967,0.00654881587740943,0.0105871029836381
"starter_DL4_grades_run_defense_12w",0.00395166060558981,0.0034911675894061,0.00673724735322425
"starter_LB4_grades_run_defense_12w",0.00385555086557025,0.00325421107931959,0.00769971126082772
"starter_S1_zone_grades_coverage_defense_12w",0.00384423591430194,0.00448631714112709,0.00673724735322425
"spread_line",0.00384137112923454,0.00747089929377537,0.00673724735322425
"prev_stop_rate_pass",0.00380086653927845,0.00651863679025424,0.00673724735322425
"starter_WR2_grades_offense_12w",0.00369942439643302,0.00401069413355789,0.00577478344562079
"starter_LB4_man_grades_coverage_defense_12w",0.00364353345858857,0.00433549150075507,0.00673724735322425
"cover6_rate",0.00361153731481893,0.00515873720011829,0.00481231953801732
"starter_DL2_grades_run_defense_12w",0.00359928966793005,0.00350597461009865,0.00673724735322425
"prev_iform_rate",0.00336820175456616,0.0045977336234268,0.00577478344562079
"starter_OL2_grades_offense_12w",0.00329294891041176,0.0057223595894656,0.00577478344562079
"down4_pct",0.00323761055317103,0.00188755729884517,0.00673724735322425
"starter_RB_grades_run_12w",0.0030377153831834,0.00172197085867309,0.00769971126082772
"starter_LB2_man_grades_coverage_defense_12w",0.00302978887344523,0.00348980286650805,0.00481231953801732
"defteam_timeouts_remaining",0.00298989600748559,0.00375578201330702,0.00481231953801732
"attendance_pct",0.00290603887894628,0.00295982687375725,0.00384985563041386
"losing_score_diff",0.00287378349716685,0.00242133361421454,0.00481231953801732
"starter_DL3_grades_pass_rush_defense_12w",0.00286035514094112,0.00215261388405501,0.00481231953801732
"starter_LB1_man_grades_coverage_defense_12w",0.00282135050513161,0.00253748411828642,0.00577478344562079
"shotgun_rate",0.00280346286660423,0.00190037032424789,0.00577478344562079
"prev_empty_rate",0.00274541384248011,0.00144057435264936,0.00673724735322425
"starter_CB2_man_grades_coverage_defense_12w",0.00264315362131901,0.00468537326187298,0.00481231953801732
"starter_OL3_grades_offense_12w",0.0026046512726442,0.00324063475949947,0.00481231953801732
"starter_S2_zone_grades_coverage_defense_12w",0.00255683815664855,0.000880981348496269,0.00673724735322425
"starter_S3_zone_grades_coverage_defense_12w",0.00255019402244424,0.00139337632450059,0.00384985563041386
"starter_LB3_grades_run_defense_12w",0.00254669355383077,0.00191957668290069,0.00384985563041386
"starter_S3_man_grades_coverage_defense_12w",0.00250130639619652,0.00123018418224752,0.00481231953801732
"starter_DL1_grades_pass_rush_defense_12w",0.00244065398353277,0.000199055355038329,0.00673724735322425
"starter_LB3_zone_grades_coverage_defense_12w",0.00227685182444702,0.00108709423008169,0.00481231953801732
"starter_S2_man_grades_coverage_defense_12w",0.00224969658895847,0.0031583890435195,0.00481231953801732
"cover1_rate",0.00215510687730273,0.00382767387811623,0.00384985563041386
"starter_LB4_zone_grades_coverage_defense_12w",0.00188182770803062,0.00218630780092654,0.00384985563041386
"posteam_timeouts_remaining",0.00187405207869948,0.00479247765046734,0.00384985563041386
"overall_win_pct",0.00187278179086632,0.00171772373409374,0.00288739172281039
"temp",0.00172842269836669,0.00183826299543964,0.00288739172281039
"starter_DL1_grades_run_defense_12w",0.00164803776185527,0.001737626004899,0.00288739172281039
"starter_LB2_zone_grades_coverage_defense_12w",0.00153677382255645,0.0024509263086011,0.00288739172281039
"def_stop_rate_run",0.00142571904365021,0.000494583226047524,0.00288739172281039
"starter_S1_man_grades_coverage_defense_12w",0.00140660849675942,0.000498824781844646,0.00288739172281039
"prev_singleback_rate",0.00133630988308023,0.000847657477203797,0.00288739172281039
"empty_rate",0.00130291275321355,0.000638238270389956,0.00288739172281039
"def_stop_rate_pass",0.00124205053260183,0.000399841441186655,0.00192492781520693
"attendance_raw",0.0012140793773156,0.000725575291928548,0.00288739172281039
"starter_LB3_man_grades_coverage_defense_12w",0.00119261680130433,0.000781917724561155,0.00192492781520693
"prev_win_pct",0.00109764028322599,0.000893215684612444,0.00192492781520693
