"Feature","Gain","Cover","Frequency"
"ydstogo",0.331465275917242,0.217988335049001,0.090263916611222
"vegas_wp",0.156565086354945,0.102353286162521,0.0632069194943446
"time_in_half",0.104903205063177,0.103372939295253,0.0940341539143934
"is_first_half",0.063884867275844,0.0386925826347269,0.0428032823242404
"yardline_31_40",0.0559523772223077,0.0685583859401468,0.0314925704147261
"losing_score_diff",0.0324285351027586,0.0428694198879197,0.0352628077178975
"yardline_71_80",0.0258157872893892,0.0468639915510052,0.0297183410955866
"yardline_41_50",0.0241458742318092,0.0460045846456468,0.0252827677977379
"yardline_61_70",0.0216691766593989,0.0307882615667017,0.0306054557551564
"yardline_81_90",0.0150145896040748,0.0289279188871547,0.0239520958083832
"iform_rate",0.0109185417044295,0.0277386734508477,0.0137502772233311
"iform_success",0.00888881016383357,0.020425731611036,0.0164116212020404
"yardline_1_10",0.00556583936591425,0.0128011545736299,0.00709691727655799
"posteam_timeouts_remaining",0.00464296788478454,0.0130975697644482,0.00975826125526724
"is_losing",0.00433382738581699,0.00262139635634201,0.00643158128188068
"prev_singleback_success",0.00431964330580999,0.0119766365653327,0.0108671545797294
"cover2_rate",0.00390108194294672,0.00783981405758257,0.010645375914837
"shotgun_success",0.00287211781705787,0.00943457405545426,0.00798403193612774
"down4_pct",0.00278153645954976,0.005209342816086,0.00909292526058993
"def_stop_rate_pass",0.00274002794561386,0.00786914950212109,0.00953648259037481
"prev_empty_rate",0.00271265465413674,0.00446479803497114,0.00909292526058993
"empty_rate",0.00269327395644574,0.00683316684239381,0.00665335994677312
"cover3_rate",0.00266259732201958,0.00448947259436839,0.00754047460634287
"down3_pct",0.0022598155155091,0.00201124328082768,0.00731869594145043
"temp",0.00221585034382797,0.00270240731125906,0.00754047460634287
"starter_S2_man_grades_coverage_defense_12w",0.00218987244540393,0.00218412296003116,0.00864936793080506
"empty_success",0.00214350967455234,0.00455673652624906,0.00510090929252606
"starter_S2_zone_grades_coverage_defense_12w",0.00211077815965479,0.00455286243272798,0.00709691727655799
"total_line",0.00210979832420967,0.0024749120056227,0.00864936793080506
"starter_OL2_grades_offense_12w",0.00202441054197413,0.00329764037806072,0.00754047460634287
"starter_OL4_grades_offense_12w",0.00199733433302467,0.00218507561704724,0.00687513861166556
"k_player_25_field_goals_grades_grades_fgep_kicker_12w",0.00194354002484732,0.00193812387286756,0.00754047460634287
"yardline_51_60",0.0019200572617248,0.00309901375328431,0.00377023730317144
"cover0_rate",0.0019092364780685,0.00181058621154405,0.00643158128188068
"cover1_rate",0.00182004156534456,0.00238957054602733,0.0053226879574185
"starter_S1_man_grades_coverage_defense_12w",0.00172176899174706,0.00197861798505812,0.00709691727655799
"yardline_91_100",0.001645173420607,0.00362711927142092,0.00421379463295631
"starter_DL3_grades_run_defense_12w",0.00153915057234533,0.00166758357128239,0.00665335994677312
"singleback_success",0.00153742033506983,0.00124606693747249,0.00554446662231093
"starter_OL3_grades_offense_12w",0.00153047880494931,0.00118475289216459,0.00643158128188068
