"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"(Intercept)",0.123675883551987,NA,NA,0.248051338716537,NA,NA,0.34276377284437,NA,NA
"ydstogo",-0.112345595956498,-0.145146020249204,-0.153070684231278,-0.109866333071666,-0.142146570295582,-0.15005290313373,-0.110333327244427,-0.131222436411658,-0.12958019582327
"posteam_timeouts_remaining",0.0154719198745883,0.018238694038875,0.0195363020566817,0.0159936669436177,0.0198814997784014,0.0208551887082006,-0.0362379148202664,-0.0303591580650375,-0.0251952061739511
"defteam_timeouts_remaining",0.00567340861687143,0.00747386602943185,0.00665834148583536,0.00833801841210424,0.0102547447831303,0.00988067906717147,-0.00206650026298131,-0.00316398584295841,-0.0019028535723492
"rush_attempt",0.149879270876157,0.16515601751076,0.168762488149484,0.15252050535404,0.169892184926005,0.17281014701263,NA,NA,NA
"week",0.00145894893187799,0.000489736022273969,0.000548020259738049,0.00411579822149026,0.00394178127869049,0.00393095080294324,0.00442772051821161,0.00526673620322786,0.00446311121519438
"temp",-0.0083675780454455,-0.0120020238397681,-0.0121517095743814,-0.0114740440616907,-0.0152700220290814,-0.0158512134995572,-0.0060032190469489,-0.00761287442714338,-0.0073994894576966
"wind",0.0094093280043154,0.0101183253307208,0.010892866320505,0.0112167965324015,0.0120879836920319,0.013307645476296,-0.00505440236446699,-0.00478750439655531,-0.00434495048644849
"vegas_wp",0.0203564210554944,0.0234745025648054,0.023498178101838,0.0238428567486377,0.0268930116981985,0.0270566318169288,-0.105461739624403,-0.10059839826908,-0.0897991491652792
"spread_line",-0.00745287942293492,-0.00823242167064903,-0.00852294948753433,-0.00197061148965718,-0.00167591525587307,-0.00234769399690256,-0.000172902728530833,-0.000330146681534616,-0.000144483159088789
"total_line",0.0285807533776401,0.0326817250420793,0.0343540804618485,0.0188105954960594,0.0204878432060833,0.0221647315238602,-0.00536457331840781,-0.00330247271849393,-0.0034608338535299
"prep_days",0.00580945234303664,0.00746105795339444,0.00775216228433774,0.00575784539396236,0.00769689660443728,0.00732472469667176,0.00356214024518034,0.00375972923932596,0.00328897406097169
"overall_win_pct",0.0107577389341304,0.0134484520016618,0.0133580149064607,0.00893890378535083,0.0100013111290831,0.0100622528031206,0.000102168271607295,-0.0008928832625737,-0.000985339452234114
"team_win_pct",0.024906045558419,0.0297115077439254,0.0316211860956266,0.0221415161455201,0.0266077706758176,0.0279882404686394,0.01641550909636,0.0154196350752206,0.0148534515833377
"prev_win_pct",-0.0301382046192891,-0.0376451424603369,-0.038885907133283,-0.0318425144399328,-0.0396704323083906,-0.0404983541488968,0.00506052539938414,0.00482809126144046,0.00438001488719599
"prev_shotgun_rate",0.00341126184058661,0.00311443372033175,0.0064712205161138,0.00316554554038837,0.00520318048204783,0.00662928924738839,0.00126609295909483,0.00365753005312539,0.00163225933138117
"prev_singleback_rate",0.0024161028147195,0.00208998221978545,0.00479531754999995,0.00391773644173772,0.00531142414504919,0.00656891618877742,0.00160653255362918,0.00405861138420292,0.00314619508175636
"prev_empty_rate",0.0105444457238922,0.0115316474581326,0.0127054462995158,0.00922860524237421,0.0112054899105146,0.0118797638623478,-0.00313021791147857,-0.00192740934763855,-0.00211057539496888
"prev_iform_rate",-0.00327554413176443,-0.00522732358041981,-0.00273400597392927,0.00115837886971472,0.0013066882309889,0.00286009673629807,-0.00350048911283913,-0.00130011744700851,-0.00241230816537431
"prev_stop_rate_run",-7.55882475465516e-05,0.0016944734242742,0.00156014691338731,0.00155826973702973,0.00261549673405967,0.00307164265854275,-0.00190382573161921,-0.00329721583965023,-0.00333064937384319
