"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"ydstogo",1.82244377811875,1.75284244351778,1.74934567363671,1.85097126913384,1.78522642566501,1.78102962907249,1.13280418100775,NA,NA
"posteam_timeouts_remaining",1.69375308352872,1.67641761969274,1.67634406910691,1.68221363635733,1.66483707401502,1.66525922680399,1.45172637883196,NA,NA
"defteam_timeouts_remaining",1.58178588280704,1.5695488281772,1.56805709547103,1.58518181107119,1.57675416350283,1.57796598071786,1.51796184311574,NA,NA
"rush_attempt",2.0132043688813,1.9759522326096,1.9601002473945,2.00863334823527,1.9768570953835,1.96540326287988,NA,NA,NA
"week",2.05678363406178,2.05676140974558,2.05881685302814,2.04806211076613,2.05361608696308,2.05648768462333,1.56166504769417,NA,NA
"temp",2.31591457412774,2.31535198020491,2.31835657019309,2.27895643516386,2.28481091721597,2.29199216784144,1.86527883181856,NA,NA
"wind",2.32689280081353,2.3369146438817,2.34767758727379,2.24346023717979,2.24725893311029,2.2527623129832,1.8310990235471,NA,NA
"vegas_wp",2.46195796999199,2.46222509635366,2.46952342457928,2.48016507435122,2.47758009700087,2.48341005741773,7.20744143809608,NA,NA
"spread_line",3.14017209192606,3.17925874861965,3.19013877791537,3.15288021333193,3.18736997148539,3.19636135878701,1.05242025142583,NA,NA
"total_line",3.38718009136248,3.35937627659545,3.36003673999076,3.3447538132968,3.34905550959864,3.3586805709804,2.09440602836006,NA,NA
"prep_days",1.22998305745493,1.22749036193917,1.22879122243935,1.2145132417265,1.21542631329663,1.21781548810185,1.03858765996147,NA,NA
"overall_win_pct",3.66645018856541,3.6840080637854,3.69770520272368,3.55759439480233,3.57471941464681,3.59123496379322,3.76579438153978,NA,NA
"team_win_pct",4.59931501422465,4.60385018253459,4.60224532386208,4.44247554793562,4.46230760352887,4.4604648206173,4.64550028118213,NA,NA
"prev_win_pct",2.53523911517187,2.56033665242601,2.57356157330782,2.35951883067828,2.38632308289309,2.4031030529567,3.62514262835598,NA,NA
"prev_shotgun_rate",6.76018935784565,6.87128777041253,6.87577931178131,6.31385980790524,6.39726586169173,6.40977786788738,12.0210395132171,NA,NA
"prev_singleback_rate",3.92257923552918,3.95654738604856,3.95813239881713,3.64964770759188,3.68464690992013,3.68879170584034,7.63801906390697,NA,NA
"prev_empty_rate",2.7502874197841,2.76678923431389,2.7756580446322,2.61044749544341,2.62187061304707,2.63364601018084,3.36884587699504,NA,NA
"prev_iform_rate",4.13656770617975,4.21252226843415,4.22564643300558,3.92096891196934,3.98105781954868,3.99901653167263,5.66330753602297,NA,NA
"prev_stop_rate_run",2.56125033142887,2.56581143143953,2.57810478453565,2.591078742179,2.59652322152619,2.60601578287079,1.48722708671211,NA,NA
"prev_stop_rate_pass",2.15844142444702,2.17725405185347,2.19155541667347,2.2685854608524,2.29592550936659,2.31468009491342,1.3957100145893,NA,NA
"shotgun_rate",4.93820516067897,4.92627593969553,4.93639664005412,4.81331326758178,4.78871038847852,4.79533561676317,5.145203368283,NA,NA
"singleback_rate",3.05551402422508,3.07469432657197,3.09001022237954,2.97862128558289,2.98367491187446,2.9939014662409,3.71011916682107,NA,NA
"empty_rate",3.09981339854301,3.14380182415323,3.17372234403506,3.04205560916006,3.07159437889125,3.09560742529517,2.99959562102956,NA,NA
"iform_rate",2.4479234554635,2.4634715762148,2.47658218742842,2.42652901325597,2.44328955419834,2.45549669504145,2.57414864405609,NA,NA
"shotgun_success",1.74142052930273,1.75512411085665,1.76382832330042,1.67995109649392,1.68660356399929,1.69320837715845,1.50736467000135,NA,NA
"singleback_success",1.77607396638583,1.78152774492022,1.79092711535368,1.72455066560899,1.73046308385806,1.73633782854906,2.04580116358072,NA,NA
"empty_success",1.93572390366674,1.95549040299754,1.96217772709584,1.85204960689304,1.87372726910634,1.87988490700244,1.98536623087723,NA,NA
"iform_success",1.88041948631453,1.90026004565554,1.91557360651145,1.8335279795088,1.84325048877714,1.85336826816763,1.76132459703346,NA,NA
"def_stop_rate_run",1.77363963541065,1.77367753415284,1.77537544022841,1.75230716121936,1.75192845038072,1.75660276352689,1.34892126291782,NA,NA
"def_stop_rate_pass",1.81701034999432,1.81226867566178,1.81442848286152,1.88745374662414,1.88300236224402,1.88327528500986,1.39133146825464,NA,NA
"avg_pass_rushers",2.49865584775257,2.50759728676991,2.5127742114642,2.56415010993829,2.55691056656846,2.55760800899214,1.56182587229271,NA,NA
"avg_box_defenders",2.32930971692715,2.34437485083957,2.35238744683153,2.40992850523581,2.40499255366921,2.40526248821025,1.47601866752499,NA,NA
"cover0_rate",2.66446366590727,2.67832657963724,2.68865425699447,2.89884736011708,2.88934729638015,2.89361765980018,1.73782272692375,NA,NA
"cover1_rate",6.28085864622808,6.21371852967277,6.21822956545444,7.2910685831162,7.14176766226449,7.11661097942598,1.97264062713807,NA,NA
"cover2_rate",3.53579069039483,3.55639192005436,3.57593680847517,4.0899466064167,4.07291665937813,4.07995690367526,1.42905069923034,NA,NA
"cover3_rate",6.73091438723407,6.73785555183224,6.76917966084246,7.94168909912885,7.85371592527574,7.84860674677515,1.63933772894815,NA,NA
"cover4_rate",3.7637726094861,3.79800397873085,3.82382956919061,4.41589545251713,4.39764945044022,4.40042670081433,1.51794351279634,NA,NA
"cover6_rate",3.10623300331501,3.11056271665205,3.12418022866665,3.21221768397026,3.18787266600618,3.18865524158692,1.47981702764681,NA,NA
"two_man_rate",1.82165386705354,1.82876489301678,1.83569358576257,1.86417786013943,1.86596101489104,1.86891196571901,1.34753135629028,NA,NA
"prevent_rate",1.50988145624752,1.51660855236578,1.52234649014053,1.5361385302473,1.54391059221473,1.55059486785738,1.21774385256169,NA,NA
"roof_outdoors",2.51172191537928,2.53812083146228,2.55325027960561,2.48796712320121,2.51643813359594,2.53046529820533,2.16531734221974,NA,NA
"posteam_type_home",1.24777624937224,1.25293319774387,1.25846615237599,1.2217280933992,1.2266475343639,1.23208980089096,1.06878605617527,NA,NA
