"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"ydstogo",1.78625184755239,1.74348780197808,1.74767363055403,1.85259519824358,1.78116859121432,1.78074695837798,1.13203047145695,NA,NA
"posteam_timeouts_remaining",1.69674134786504,1.69461893342871,1.69801453847343,1.6932973836004,1.68586774135051,1.68567246421223,1.45441824167304,NA,NA
"defteam_timeouts_remaining",1.60615838273264,1.59592558194637,1.59648715436901,1.59110132272598,1.58003708665911,1.57985473863165,1.51993745673445,NA,NA
"rush_attempt",2.01750620934171,1.99066963102072,1.98498224954648,2.0362801957193,2.00703070424945,1.99628251384729,NA,NA,NA
"week",2.11266273969637,2.10949718292793,2.11135773323261,2.08209309631871,2.07855063250463,2.07947147398762,1.5843918300754,NA,NA
"temp",2.31124478407121,2.3288873044777,2.33986620049949,2.28517341856928,2.30003304313395,2.31221220181624,1.86821395410319,NA,NA
"wind",2.33196603235667,2.34389958136501,2.35296932730814,2.27002490296497,2.28002562182493,2.28943152613608,1.85423208387771,NA,NA
"vegas_wp",2.46345996637447,2.48637632144851,2.49747651263218,2.50578876950485,2.52726268319241,2.53760851875538,7.42771474140475,NA,NA
"spread_line",3.15941251583976,3.18960655158379,3.20296706565526,3.10772250565885,3.13962802905865,3.14580279451278,1.05533055927571,NA,NA
"total_line",3.57678769656045,3.55496944419197,3.55967957419708,3.47606200508131,3.4700803661651,3.47759916957007,2.24660082094471,NA,NA
"prep_days",1.23815376977033,1.23878799639619,1.2399815901195,1.22613678427493,1.22780970334361,1.23081374432768,1.05017003760289,NA,NA
"overall_win_pct",3.69309566934439,3.71623567343572,3.73404560731892,3.60226216068847,3.62325318768503,3.6358866556678,3.96986425444244,NA,NA
"team_win_pct",4.57946243158414,4.60689036230189,4.61720993647973,4.5142480943233,4.54218014353165,4.54302042783101,4.543840946142,NA,NA
"prev_win_pct",2.42827813396375,2.44208214380873,2.44977793154055,2.4457219697204,2.46652449810965,2.47982908002212,3.47711085585439,NA,NA
"prev_shotgun_rate",6.6685359667203,6.77576326755745,6.78529546447606,6.55978190693397,6.66526996841944,6.71333543662876,12.1382816202008,NA,NA
"prev_singleback_rate",4.05444178015128,4.09842097119621,4.09888678755585,3.8124734377581,3.85971220088336,3.88435704872441,7.87565893015095,NA,NA
"prev_empty_rate",2.74493663361541,2.77063736938176,2.78156540028166,2.73251236348919,2.75935205313657,2.775198694472,3.38382457406685,NA,NA
"prev_iform_rate",4.10600088427218,4.19790006055155,4.22529311620408,4.08441871273735,4.16308765849689,4.19845264319622,5.54009810375096,NA,NA
"prev_stop_rate_run",2.57010191708826,2.58007403839124,2.59055857273905,2.60238036773773,2.6103936330942,2.6236820723985,1.5488395685714,NA,NA
"prev_stop_rate_pass",2.21716961814793,2.23413166982711,2.24717228778688,2.22289937985168,2.24379404255141,2.25841668922232,1.48093857566529,NA,NA
"shotgun_rate",4.88788351302208,4.87181711337996,4.86962624692919,4.85811459662932,4.81183187859248,4.81302709974279,4.9845233425522,NA,NA
"singleback_rate",3.01099387999122,3.04525229824136,3.05863277857105,3.03188626253592,3.03071369503368,3.03197603208828,3.64355296995639,NA,NA
"empty_rate",3.09904530631744,3.14053149490968,3.15939726368373,3.08648286625466,3.09851476405067,3.11376626745599,2.96458114265557,NA,NA
"iform_rate",2.4632201235458,2.47878303615431,2.48803942702845,2.44596300939459,2.46098958895685,2.47112904223576,2.57688737636181,NA,NA
"shotgun_success",1.72681520300212,1.74623511073843,1.75999212010429,1.68759765110975,1.70390054367733,1.7150965175983,1.49405126596843,NA,NA
"singleback_success",1.7623763756142,1.76795187444481,1.77559905060189,1.75802291304303,1.75946269514208,1.76306763092667,2.06555062699893,NA,NA
"empty_success",1.92074108561464,1.93122065764468,1.93582280200805,1.92179604426739,1.94674269674169,1.95462519241693,1.9777192660749,NA,NA
"iform_success",1.89424461286862,1.9164095522725,1.93276357525447,1.83361301028677,1.84678481927716,1.85688407847567,1.74989744034039,NA,NA
"def_stop_rate_run",1.80939622000234,1.82814239193294,1.84332021920925,1.82356967539287,1.82847947814599,1.83261563057235,1.44217216561282,NA,NA
"def_stop_rate_pass",1.88736334931284,1.89155004627609,1.89767960825514,1.90946040202706,1.90462997710793,1.90706203523471,1.64604040530213,NA,NA
"avg_pass_rushers",2.5074471970552,2.5177810941108,2.52299292016639,2.49570302120104,2.48368519191656,2.48007076294967,1.59721691245747,NA,NA
"avg_box_defenders",2.37188737439611,2.38412985931166,2.39047697141083,2.38314074898432,2.38589765830175,2.38834857184134,1.5697784247172,NA,NA
"cover0_rate",2.71931133769919,2.73909997594722,2.75297238630835,2.69914410355963,2.72419131174193,2.73814835639785,1.78582845621343,NA,NA
"cover1_rate",6.45818256333833,6.45276454522446,6.46206691726558,6.27215315574497,6.2419118401403,6.24489965676975,2.00253146084319,NA,NA
"cover2_rate",3.56596010687479,3.61012029896673,3.63568672678968,3.52743175985805,3.54863583977278,3.56999131709154,1.44577508041691,NA,NA
"cover3_rate",6.79733308067333,6.80671559703292,6.83091981718291,6.75959004215961,6.77028813707748,6.78992976872073,1.68708922933142,NA,NA
"cover4_rate",3.76391302652809,3.78688058345484,3.80432124355718,3.71068898878878,3.73277950921494,3.74900454898601,1.5327374514874,NA,NA
"cover6_rate",3.13251026356056,3.16766602030298,3.19507224884899,3.12690570072674,3.1406293068915,3.15930275774106,1.52662957619719,NA,NA
"two_man_rate",1.83715198422238,1.83463692314627,1.84164084730575,1.81064558753895,1.81304076130801,1.81773896670827,1.38128731117345,NA,NA
"prevent_rate",1.54098550238432,1.55928115323227,1.57028903227792,1.53617546480793,1.55770230689998,1.57078175269246,1.23993337504128,NA,NA
"roof_outdoors",2.54294509617326,2.57859924881557,2.59811356488698,2.50522490371871,2.5257682707888,2.53878409497764,2.1978214866868,NA,NA
"posteam_type_home",1.24566527100744,1.25203516314688,1.25844727077651,1.23341747376909,1.23910614072899,1.24434615407535,1.06801141612799,NA,NA
"down1_pct",2.3722033259286,2.38109262434842,2.39039995851367,2.24801486981238,2.2494551429105,2.25162167192047,2.64980714042044,NA,NA
"down2_pct",2.44169966458489,2.45758770734774,2.46851009524979,2.30758774046633,2.32925244461888,2.33864426050416,2.51702709634395,NA,NA
"down3_pct",2.62348673973288,2.65797525275052,2.67137710103665,2.5478738407479,2.5689396777067,2.57225868523384,2.49416407303859,NA,NA
"down4_pct",2.37281515182504,2.39312067415902,2.40319352908993,2.3494032935588,2.34621660557695,2.35057447487834,2.17751124854646,NA,NA
"defteam_prev_game_off_4th_success",1.28754695923391,1.29740197408051,1.30466555315949,1.26560716371393,1.27198743271758,1.2776567446245,1.10866292057021,NA,NA
"defteam_prev_game_off_4th_fail",1.31656173193316,1.32420418457429,1.33051511818356,1.28287996156555,1.2912422029165,1.29647556594053,1.10889275151288,NA,NA
"offense_formation_EMPTY",4.07152138829799,4.13727945003887,4.19674573429512,4.06168291581936,4.1131163881609,4.16704242315378,NA,NA,NA
