"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"ydstogo",2.08076478301038,2.03691496923919,2.04241759382105,2.09548104360548,2.03835399510416,2.0377080200063,1.13110623577767,NA,NA
"posteam_timeouts_remaining",1.74629064463322,1.74395312784786,1.75021073069414,1.7450971018693,1.73063157796906,1.73287921594891,1.45400113121323,NA,NA
"defteam_timeouts_remaining",1.59081754892239,1.58173851821126,1.58158756578639,1.58409335221555,1.57262361305648,1.57242374534979,1.52056677419883,NA,NA
"rush_attempt",2.00193880008983,1.96514512424725,1.95325348695979,1.99705944794638,1.96616266266402,1.95436304778875,NA,NA,NA
"week",2.08267472018595,2.07861928261176,2.07848156947111,2.04844310339041,2.04690797616072,2.04761771180542,1.56789852811088,NA,NA
"temp",2.32152337876648,2.32279461152027,2.32851812943705,2.2590193161044,2.26333196815866,2.27073471587952,1.86160521678146,NA,NA
"wind",2.29880240412271,2.30419458852535,2.30988385566961,2.23844059593987,2.24390663438632,2.25252284069871,1.83048974295784,NA,NA
"vegas_wp",2.67346128119414,2.78337140490845,2.82795249853253,2.6699826575569,2.75977519050171,2.79591731459682,7.25092368648043,NA,NA
"spread_line",3.13116724219649,3.15588928777971,3.16472814064587,3.06553480083867,3.09987938633165,3.11215039530854,1.05767015144273,NA,NA
"total_line",3.31645030835534,3.28445799879423,3.28218251001364,3.28824453885797,3.28322120911948,3.28856719350502,2.09844492684136,NA,NA
"prep_days",1.23074673914906,1.23392693799486,1.23804989396051,1.21434824824944,1.21607643601546,1.21892239216323,1.04329918753845,NA,NA
"overall_win_pct",3.60451041782524,3.61606868124066,3.62639104866872,3.54137212584837,3.55928630119796,3.57381181867488,3.64205955265638,NA,NA
"team_win_pct",4.49296265721273,4.5054695958276,4.51001745209718,4.47641382343674,4.50807819356407,4.51105025364367,4.28704376104518,NA,NA
"prev_win_pct",2.38128519816699,2.40236582269253,2.41596600801653,2.34997065514303,2.37195061034659,2.38394777457671,3.37400093464889,NA,NA
"prev_shotgun_rate",6.32203155064888,6.43464548248358,6.44150088287113,6.31409465351451,6.41807978327477,6.45484552157661,11.6884392828286,NA,NA
"prev_singleback_rate",3.70299320417102,3.72832530411526,3.72322374188959,3.65187333228206,3.68397038400243,3.69792586136542,7.42548772504018,NA,NA
"prev_empty_rate",2.59264478850431,2.61445564670875,2.62865760339105,2.62224913874821,2.6463524241645,2.66068003316234,3.29275494586665,NA,NA
"prev_iform_rate",3.94735696564966,4.02542422734913,4.03746065819315,3.92615858409001,4.00096670320873,4.02701271469281,5.38176868781907,NA,NA
"prev_stop_rate_run",2.66167902249515,2.6680710272673,2.67989731845006,2.60176338697991,2.60575504545329,2.61726875841803,1.61490790952107,NA,NA
"prev_stop_rate_pass",2.16415991792094,2.18329581062922,2.19755847743948,2.17906696860162,2.19571011451469,2.21028940593839,1.43277801427371,NA,NA
"shotgun_rate",4.83215157257661,4.80848636696615,4.82174685825066,4.78749615129971,4.76458741471808,4.77073101890727,4.94847496480829,NA,NA
"singleback_rate",2.96110698381892,2.99441147119113,3.02057691745996,2.96450768783249,2.96516304438948,2.97001358691171,3.57119096600102,NA,NA
"empty_rate",3.07826303231082,3.09654431268444,3.11891920084315,3.03607485926051,3.05047321814804,3.06781865880763,2.93116325244864,NA,NA
"iform_rate",2.44008786723905,2.45675478193721,2.4727451610662,2.42320633283471,2.43912136486207,2.45066599146259,2.5428849468191,NA,NA
"shotgun_success",1.69297029992279,1.71259302014956,1.72489675151388,1.67258487882715,1.68562703579878,1.6937475266564,1.46253565929147,NA,NA
"singleback_success",1.75954525876064,1.77300235359294,1.78378704891176,1.72910413334484,1.73596163093599,1.74371412732791,2.01454762679637,NA,NA
"empty_success",1.89014020353078,1.90348889997421,1.90684740077483,1.87148299545421,1.89933237101143,1.90628106132637,1.91942763825199,NA,NA
"iform_success",1.86148866386303,1.87130006814368,1.88398369781333,1.82666018499449,1.83487971809812,1.84500730087456,1.695146778445,NA,NA
