"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"ydstogo",1.80571830246466,1.73786321749619,1.73667573853683,1.83891555833674,1.77191148603601,1.76924501137309,1.13201728376939,NA,NA
"posteam_timeouts_remaining",1.64588581398727,1.62705244118367,1.62824625236115,1.63544911968394,1.61189044433573,1.61056817962448,1.45248822305962,NA,NA
"defteam_timeouts_remaining",1.58512071596288,1.57429100836176,1.5741145021091,1.5803495418345,1.57230393685503,1.57324466679678,1.51572161332076,NA,NA
"rush_attempt",1.99906534356487,1.96436918980348,1.95243332710835,1.99916662413941,1.96876239919355,1.9573211448145,NA,NA,NA
"week",2.0592228728295,2.06277466728292,2.06538806969833,2.03437032115714,2.03829225778111,2.04150926551079,1.55992318253721,NA,NA
"temp",2.30767875049251,2.315752996248,2.32161183965512,2.28937481841449,2.29554263289202,2.30380543741081,1.8640807198934,NA,NA
"wind",2.32615516511302,2.32940196416158,2.33994577990764,2.24477775374742,2.24795906658321,2.25316377621809,1.83809239746789,NA,NA
"vegas_wp",2.22711082814495,2.22514230232152,2.23164312667836,2.26835894962622,2.25744986377108,2.26004904982738,7.21154472575696,NA,NA
"spread_line",3.12627721290267,3.17226183847571,3.18672285898736,3.16523824691674,3.2008614054857,3.21274833122623,1.05081154365615,NA,NA
"total_line",3.39648670489808,3.37476023072959,3.3740842157387,3.35082512777707,3.3455321052798,3.35058137892052,2.09805422071199,NA,NA
"prep_days",1.22420562047575,1.22592415266734,1.22879334943954,1.21632702200229,1.21932829098122,1.22342277142843,1.03791721648458,NA,NA
"overall_win_pct",3.61482009516968,3.6380243979757,3.65251659150406,3.5350555597871,3.54486287761262,3.55699260952395,3.78456775884873,NA,NA
"team_win_pct",4.55458454082114,4.56621684090611,4.5660226720233,4.41479534685638,4.44080257174114,4.44537878412946,4.5432157324921,NA,NA
"prev_win_pct",2.57067155825175,2.59049836719493,2.60057118630654,2.35543894272102,2.37433327729559,2.38646281978165,3.55601506166338,NA,NA
"prev_shotgun_rate",6.65388205681736,6.77729924144317,6.7860824615746,6.31862048616997,6.41669225772247,6.44251791861021,12.0368765326876,NA,NA
"prev_singleback_rate",3.91821892810046,3.95514334767979,3.9567577720247,3.66082166308309,3.69664031960595,3.70500655335864,7.66471678625198,NA,NA
"prev_empty_rate",2.72683871337068,2.7549162952538,2.76933963996802,2.61945959862373,2.64152405978564,2.65435885847926,3.33605404020433,NA,NA
"prev_iform_rate",4.1344023436545,4.22064525936774,4.23355520630813,3.92902731494791,3.99711712025106,4.01871015370043,5.69504759734486,NA,NA
"prev_stop_rate_run",2.56079199609473,2.57161982347628,2.58706894376732,2.56439092584971,2.57615952577346,2.59101513520452,1.4813583773761,NA,NA
"prev_stop_rate_pass",2.1499781055186,2.16674034727504,2.17931860334991,2.2286449058995,2.25285503270045,2.2717137152064,1.3908256290824,NA,NA
"shotgun_rate",4.87573421705248,4.87904419002395,4.8900519721449,4.82726034309799,4.79062234070002,4.79239303640664,5.09163888519444,NA,NA
"singleback_rate",3.04580081806108,3.066357993252,3.07881606934539,2.9592738262014,2.9662016328322,2.97583530449129,3.6702899431747,NA,NA
"empty_rate",3.08575469138926,3.12466856229497,3.15430367790775,3.05345049866858,3.08100379649152,3.10572339268657,2.96435281966411,NA,NA
"iform_rate",2.45517148077276,2.47035864280705,2.4808714119259,2.43604548806594,2.44761463117064,2.45918026390671,2.56852103090147,NA,NA
"shotgun_success",1.73730521506186,1.74937130857218,1.75736764971857,1.67470930940212,1.68217861215535,1.68748844748724,1.50725232470294,NA,NA
"singleback_success",1.7851292689805,1.79809260965944,1.8092962546478,1.73759449003702,1.74494508612771,1.75197882119253,2.059837503675,NA,NA
"empty_success",1.91742412627724,1.93887243695908,1.94520181334405,1.85749015806002,1.88201954969012,1.88888957116384,2.00666364998456,NA,NA
"iform_success",1.8582375740111,1.87800663197632,1.89234148643571,1.83287330091242,1.84158391526317,1.85088964415101,1.76306338617412,NA,NA
"def_stop_rate_run",1.75175285912623,1.75098818068266,1.7541582993877,1.82395108644023,1.82986308983399,1.83513381874477,1.34667452973639,NA,NA
"def_stop_rate_pass",1.80753215522627,1.80415918149348,1.80623328447825,1.85058936168034,1.83960989230256,1.83647192512323,1.38449843218302,NA,NA
"avg_pass_rushers",2.48224073140366,2.47930279913409,2.48240788539572,2.55788125125903,2.54873481230033,2.54860269321987,1.55509559294164,NA,NA
"avg_box_defenders",2.32040597021047,2.33946798646764,2.35110212154258,2.42980346241211,2.43010783361711,2.43176074246416,1.47730767754851,NA,NA
