"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"ydstogo",1.80569601686828,1.75045354550394,1.75102999802154,1.83397862480254,1.75671831338862,1.75410262859902,1.13158853127023,NA,NA
"posteam_timeouts_remaining",1.64207185361255,1.62395860746015,1.62512701584894,1.63988709867023,1.61983568161485,1.61838288616121,1.45407255295206,NA,NA
"defteam_timeouts_remaining",1.59165967714536,1.5786470209835,1.57658717274432,1.58693283933212,1.57385215684107,1.57183316211387,1.51613535876125,NA,NA
"rush_attempt",2.00312033940297,1.96625386991177,1.95312028198641,2.01419857905476,1.98569737030119,1.97585731006826,NA,NA,NA
"week",2.08950659990865,2.09531226606478,2.10187056853962,2.05752605681015,2.0560888121835,2.05732236034684,1.56973063965953,NA,NA
"temp",2.29840891256911,2.31310526849826,2.32472962527467,2.25944739919335,2.27187169784625,2.28298130963819,1.86428662445385,NA,NA
"wind",2.31642824245765,2.3293714416974,2.34132611575255,2.25234840708987,2.25912418934193,2.26776848854072,1.83623147725868,NA,NA
"vegas_wp",2.24314643826933,2.2330864497923,2.23922414331889,2.27728113915139,2.27165631794231,2.277771363964,7.22610094529312,NA,NA
"spread_line",3.15783658021778,3.18429803262183,3.19569126278102,3.06947306284486,3.10869677222505,3.12080164401707,1.0517450596911,NA,NA
"total_line",3.61773468953619,3.60698557196732,3.61260993276642,3.44191469864235,3.42748644272155,3.43034629723162,2.20702243043653,NA,NA
"prep_days",1.22926150319359,1.2318115296426,1.23443109761458,1.22338971309331,1.22635413785577,1.22970461339159,1.04377405440832,NA,NA
"overall_win_pct",3.64368084747549,3.67192581260924,3.69427037346982,3.56136578305243,3.58112434697051,3.59253779891837,3.94492520401354,NA,NA
"team_win_pct",4.54864930735701,4.58179230857428,4.59933850795495,4.4566193653903,4.49518847965202,4.49927898174571,4.61088714591011,NA,NA
"prev_win_pct",2.47064574587472,2.48745087236648,2.49708482769731,2.41493407560612,2.44232320922252,2.45448480382781,3.51614783690592,NA,NA
"prev_shotgun_rate",6.6845648306238,6.80013811858936,6.80823278223986,6.50160861100986,6.62551596820195,6.67413342167668,12.1200381107162,NA,NA
"prev_singleback_rate",4.11198450531241,4.14637595591784,4.139640998331,3.82055479576805,3.8725233308762,3.89819553389471,7.84060971339479,NA,NA
"prev_empty_rate",2.73854840092521,2.77027538893141,2.78623996166143,2.70022670150632,2.73153771342595,2.74702627253683,3.3501123327932,NA,NA
"prev_iform_rate",4.10940073484476,4.2006299148905,4.22448290474259,4.01511169763949,4.08963460757378,4.11847411683621,5.51887270795052,NA,NA
"prev_stop_rate_run",2.54956433191401,2.56244686850707,2.57455716399921,2.53998107840953,2.5483707297286,2.56230949957854,1.49825168352139,NA,NA
"prev_stop_rate_pass",2.15838249160779,2.17616012284631,2.19027042920416,2.18650641991866,2.20499208662426,2.21835097787997,1.40238694869882,NA,NA
"shotgun_rate",4.85603104179443,4.84966006564621,4.86540254310795,4.83469051890297,4.78725281003257,4.78988567538533,5.0443393693676,NA,NA
"singleback_rate",2.98866830935586,3.02191282416891,3.04383190090652,3.00162744102068,3.01432936872956,3.02241315451705,3.68381976141748,NA,NA
"empty_rate",3.06860969180254,3.10869784666638,3.1396085061782,3.05547050445247,3.06451587403753,3.08088409385531,2.95910961170459,NA,NA
"iform_rate",2.46682115739629,2.48059930795385,2.4922798200721,2.43192143355468,2.45163924137509,2.4637340246963,2.59183449181075,NA,NA
"shotgun_success",1.6961645073949,1.71323964322156,1.72470549627854,1.67011986546766,1.68684729851809,1.6986078986012,1.47731649718979,NA,NA
"singleback_success",1.76400492238907,1.77247386264558,1.78180843337775,1.74278185363982,1.74668544339801,1.75122593538096,2.04082640116847,NA,NA
"empty_success",1.9059774426797,1.92426309794197,1.92978200068356,1.90828737228806,1.93417317056328,1.94187685507588,2.00822378782109,NA,NA
"iform_success",1.89375285913582,1.91588075560777,1.9319339044753,1.82617397176519,1.83889083850591,1.84838344719413,1.78649555960889,NA,NA
"def_stop_rate_run",1.77751937096741,1.79040444977447,1.80187995067809,1.79040491108,1.79493617159746,1.80048743522261,1.34339810540586,NA,NA
"def_stop_rate_pass",1.85123814735763,1.85699344648225,1.86191262648795,1.85403157273562,1.84938882159722,1.84886216312499,1.38983117207049,NA,NA
"avg_pass_rushers",2.48543068082582,2.48334599889734,2.48644110837787,2.46596866180802,2.45384752144016,2.45227480421959,1.55978100891231,NA,NA
"avg_box_defenders",2.33345900764125,2.34183329379975,2.34887979890653,2.35812499080038,2.36728838206635,2.37419627461538,1.48323419364768,NA,NA
"cover0_rate",2.64940339947262,2.65461231142842,2.66579586481572,2.67857148515471,2.69868494370907,2.71289114325442,1.73127243635227,NA,NA
"cover1_rate",6.32052555222334,6.26883235335347,6.26569072812177,6.17369706817309,6.09857288670525,6.09203952180225,1.95906273048314,NA,NA
"cover2_rate",3.50665202051598,3.52419197090531,3.53716373908064,3.4455978554451,3.46191691144412,3.47959778664071,1.41637890122632,NA,NA
"cover3_rate",6.69867025465112,6.69442737816578,6.71539252504263,6.59105171479142,6.56702568993493,6.57589042063981,1.63509029702237,NA,NA
"cover4_rate",3.75054654783312,3.7662484477579,3.77779896855476,3.66355180597686,3.67145262516777,3.67895780403435,1.51976075176817,NA,NA
"cover6_rate",3.13313710045028,3.15312839034502,3.17220003956622,3.06364631023918,3.07385007844576,3.09068330736386,1.48671005586727,NA,NA
"two_man_rate",1.83528979336865,1.83817992207126,1.84510456245514,1.79596944227499,1.79953221534681,1.80467111051502,1.36667151178337,NA,NA
"prevent_rate",1.52954717514476,1.54235797098246,1.55133711474439,1.5175742408712,1.53027920094937,1.54097962990951,1.21625105672937,NA,NA
"roof_outdoors",2.52764478621047,2.56255117655172,2.58418800642168,2.48669037938137,2.50843936443629,2.52184881132589,2.17274647243707,NA,NA
"posteam_type_home",1.23403363730651,1.2376226036855,1.24314831343253,1.22183364587877,1.22905475194429,1.23446271028519,1.06338660530014,NA,NA
"down1_pct",2.42858304707659,2.44345821150136,2.45777549505397,2.24773519214181,2.25378186778357,2.25984543714547,2.69038089760193,NA,NA
"down2_pct",2.46080871280797,2.48406591121262,2.49678090718827,2.28993187864422,2.31738125369049,2.32785967993426,2.53795373784697,NA,NA
"down3_pct",2.61493485039483,2.65537104665241,2.67710772220343,2.50984163112411,2.5372742044356,2.54647386178424,2.4537335389109,NA,NA
"down4_pct",2.37200933376569,2.38306398437728,2.39041277962627,2.32998698890949,2.32126207705352,2.32240193824413,2.20301050790031,NA,NA
"defteam_prev_game_off_4th_success",1.28696428346957,1.29589512430222,1.30392227228937,1.25749144120332,1.26441246035202,1.27029146859343,1.10356640489033,NA,NA
"defteam_prev_game_off_4th_fail",1.29504189061442,1.29729849747074,1.30038123360419,1.27064340668272,1.2765381873458,1.2802575620041,1.10533144131165,NA,NA
"offense_formation_EMPTY",4.04206997469855,4.11598562658534,4.18254376650829,4.04364606740065,4.10181198419575,4.15374881026164,NA,NA,NA
"offense_formation_SHOTGUN",7.40554558909776,7.56068215964874,7.67695711902407,7.4145142308977,7.52430626206844,7.60416717870741,NA,NA,NA
"offense_formation_SINGLEBACK",4.23965918407019,4.31283646630901,4.36224908714951,4.25766814161547,4.30797644858233,4.34003282834366,NA,NA,NA
"offense_formation_I_FORM",2.75089176441849,2.79813035374476,2.82357504442457,2.75196119741165,2.79055381577357,2.80893371817828,NA,NA,NA
"yardline_1_10",1.82230870791798,1.82976398780677,1.83606466723717,1.84080009231676,1.84638572878336,1.85171103935869,1.70140602292266,NA,NA
"yardline_11_20",1.48495375079579,1.47622729309979,1.47195817762343,1.49718493398361,1.48409152703597,1.48005116757484,1.71913897893488,NA,NA
"yardline_21_30",1.5390901593906,1.53095424237092,1.53043679267257,1.54702514311148,1.53660733337131,1.53555537631499,1.76041825382249,NA,NA
"yardline_41_50",1.69913754951595,1.68551414392958,1.68218701805523,1.70813355225615,1.6914799145551,1.68776726224355,1.89807487316314,NA,NA
"yardline_51_60",1.56699422140675,1.5478659956748,1.54343025055272,1.57475987838239,1.55495982056943,1.54868182366982,2.03290414676573,NA,NA
"yardline_61_70",1.53447236294978,1.52209231072056,1.51941544896553,1.54464767519808,1.5298726826863,1.52632758208505,2.19114317848425,NA,NA
