"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"ydstogo",2.06498810247297,2.06343986954799,2.07346514126249,2.10438812754868,2.0844378990702,2.08671631088577,1.13133581215345,NA,NA
"posteam_timeouts_remaining",1.73413350989667,1.73317086680312,1.7387703048726,1.73503170550406,1.73012261054218,1.73250001718672,1.45326236464399,NA,NA
"defteam_timeouts_remaining",1.59792357793346,1.58930612265096,1.58947434984513,1.58586460998649,1.57480507516059,1.57363171129091,1.51907844596721,NA,NA
"rush_attempt",2.0000688618586,1.97018973745418,1.96169886397445,2.01073613160989,1.98284361998889,1.97292025376785,NA,NA,NA
"week",2.07724374303312,2.08032709192917,2.08455731553406,2.05221160699462,2.05213723476063,2.05409144879384,1.57337907252033,NA,NA
"temp",2.29840243403315,2.31211406369821,2.32300341211041,2.26391890654168,2.27429897235691,2.28480341180011,1.86146464970762,NA,NA
"wind",2.31282973329096,2.32203345403056,2.33124816197838,2.25056405534505,2.25524476376379,2.26293563625906,1.84449777096119,NA,NA
"vegas_wp",2.67769771221247,2.84473846885258,2.89246038613374,2.69723785427666,2.84987061996065,2.89231433762358,7.30795331406224,NA,NA
"spread_line",3.14835081475143,3.18865966997174,3.20755691788121,3.06705454348598,3.10198036194796,3.11220050486287,1.05061821824784,NA,NA
"total_line",3.52665347233101,3.50073993385097,3.50398640618821,3.44312851435806,3.42781885298101,3.43019821447898,2.1884991489079,NA,NA
"prep_days",1.23399548683079,1.23779523515782,1.2411849176324,1.22227331900521,1.22563659752582,1.22929369105309,1.04433836860451,NA,NA
"overall_win_pct",3.63683777810756,3.65827329786275,3.67614140794626,3.55652150905368,3.57836729486106,3.59150619280587,3.92053922687196,NA,NA
"team_win_pct",4.53517672764455,4.56469472159148,4.57474725483262,4.5034680937353,4.54655932563973,4.55040199055111,4.49955701028422,NA,NA
"prev_win_pct",2.41563623235524,2.43078437593391,2.43847303865528,2.42269967936867,2.44654557804703,2.45816621029203,3.43019573009589,NA,NA
"prev_shotgun_rate",6.60896847747985,6.71625374307263,6.71801948194974,6.50205172755562,6.60110347622151,6.6421789366142,12.0549145817161,NA,NA
"prev_singleback_rate",4.03296201167192,4.06683586617971,4.05647721612783,3.78475032750644,3.82902107856837,3.85234799922781,7.79228135907902,NA,NA
"prev_empty_rate",2.70026416759617,2.73045187781053,2.74503883560629,2.70611450529508,2.73445273372065,2.74916696135567,3.33946087602461,NA,NA
"prev_iform_rate",4.09342130950239,4.17987890743907,4.20282599088366,4.06079550206422,4.13212559720411,4.16042637042372,5.48203777487311,NA,NA
"prev_stop_rate_run",2.55570231174748,2.56377283171246,2.5731261147076,2.54942069640891,2.55796973667555,2.57230040572192,1.49056270292401,NA,NA
"prev_stop_rate_pass",2.20809067879432,2.22291107934191,2.23600044145766,2.19230838509565,2.20867929284748,2.22171609358639,1.43048223138127,NA,NA
"shotgun_rate",4.86137585934102,4.83991885489576,4.8416134129659,4.83437752867043,4.79779737312931,4.80063478906908,4.95392306798453,NA,NA
"singleback_rate",2.99661110181025,3.03634733913097,3.05599912015559,3.00376533814647,3.0136373356284,3.01950396703013,3.6146931629739,NA,NA
"empty_rate",3.0910359411926,3.1339993212422,3.15669120194487,3.06886244886493,3.08210771672105,3.09699349680449,2.93551668835655,NA,NA
"iform_rate",2.44782952015696,2.46235721326703,2.47213574457439,2.42871957243088,2.44710883196184,2.45813583086197,2.54420173228164,NA,NA
"shotgun_success",1.70213259212017,1.72173366461284,1.73562989737137,1.67204398354327,1.68905885860262,1.70038237485065,1.46983314431155,NA,NA
"singleback_success",1.74805369073408,1.75488346746799,1.76345639601204,1.74548737136927,1.74802212035079,1.75265385711789,2.03714931031188,NA,NA
"empty_success",1.90692074524399,1.92155784191743,1.9273073727377,1.90910699824506,1.93588271592967,1.94438215241081,1.95702443030636,NA,NA
"iform_success",1.88712355234276,1.91168461883012,1.92905055805548,1.82289373652807,1.83531612519698,1.84419029623023,1.74534689472287,NA,NA
"def_stop_rate_run",1.79345081479707,1.81119318375313,1.82691752565718,1.79236297986378,1.79468036573352,1.79887801344224,1.35705309320186,NA,NA
"def_stop_rate_pass",1.87929043949166,1.88965394244687,1.89637071899899,1.85045921467395,1.84727112010099,1.84713222343816,1.44750572159145,NA,NA
"avg_pass_rushers",2.49626154518759,2.49927828923087,2.50272209492779,2.46894660544764,2.45929843501892,2.45845041006965,1.5726211853503,NA,NA
"avg_box_defenders",2.37514346550932,2.39437266844833,2.40557010172243,2.35806606449166,2.36675597988219,2.37249444441915,1.52353679803995,NA,NA
