"Feature","Gain","Cover","Frequency"
"ydstogo",0.337275360746572,0.266853377776797,0.102670349907919
"rush_attempt",0.1354733896243,0.137803138212247,0.0524861878453039
"total_line",0.0220276578129504,0.0297259125523887,0.0253222836095764
"DL1_grades_defense_12w",0.0168676567279175,0.0288280615227298,0.0253222836095764
"vegas_wp",0.0162495107322287,0.0203156772876479,0.0225598526703499
"CB1_grades_defense_12w",0.015538918372238,0.0244352388540663,0.0197974217311234
"team_win_pct",0.0153457634202993,0.025612104196812,0.0220994475138122
"prevent_rate",0.0143626200947446,0.0131278587893565,0.0220994475138122
"OL2_grades_pass_block_12w",0.0136586964677779,0.0163276167454548,0.0230202578268877
"RB_short_grades_pass_route_12w",0.0128731334990849,0.0218613521129239,0.0211786372007366
"WR1_short_grades_pass_route_12w",0.0113071526691526,0.0110107800527551,0.0193370165745856
"down2_pct",0.0112812548626614,0.0154366973610378,0.0170349907918969
"time_in_half",0.0107160979228484,0.0141794938669742,0.0161141804788214
"down1_pct",0.0104567590496203,0.011822883293515,0.0156537753222836
"LB1_grades_defense_12w",0.00992465004609497,0.00747422237193718,0.0165745856353591
"avg_pass_rushers",0.00968400716879469,0.00927436626453986,0.0170349907918969
"avg_box_defenders",0.00940009696209093,0.00974784851404412,0.0138121546961326
"cover3_rate",0.00926147574672546,0.0110873487458476,0.0142725598526703
"two_man_rate",0.00907284381893593,0.00914655099358967,0.0128913443830571
"prev_iform_success",0.00903588824244484,0.010655834954891,0.0124309392265193
"QB_medium_grades_pass_12w",0.00901318985824121,0.00588272647202872,0.0142725598526703
"OL5_grades_pass_block_12w",0.00806957944816065,0.00862285945110363,0.0128913443830571
"QB_short_grades_pass_12w",0.00730118741424817,0.00787965960892276,0.0133517495395948
"OL4_grades_pass_block_12w",0.00712388027375391,0.00775181370086652,0.0124309392265193
"OL4_grades_run_block_12w",0.00704438520532558,0.00810822609727354,0.0115101289134438
"OL3_grades_run_block_12w",0.00667894141105729,0.0085144943657605,0.0101289134438306
"OL1_grades_pass_block_12w",0.00663231052507905,0.00414749932458139,0.0110497237569061
"def_stop_rate_pass",0.00640682159707591,0.00308939215831236,0.00920810313075507
"cover6_rate",0.00640663114387962,0.0111108058272519,0.00966850828729282
"RB_deep_grades_pass_route_12w",0.00638043378035109,0.00927828671993084,0.0101289134438306
"CB2_grades_defense_12w",0.0063318447675406,0.00504284084700077,0.00966850828729282
"prev_iform_rate",0.00627177209692939,0.009432215199961,0.00966850828729282
"TE1_grades_run_block_12w",0.00587841255363534,0.00847596546945713,0.0101289134438306
"S1_grades_defense_12w",0.00578507613168233,0.00400880569262167,0.00828729281767956
"WR1_deep_grades_pass_route_12w",0.00564547872405443,0.00745655187393644,0.00920810313075507
"DL4_grades_defense_12w",0.00563728875808814,0.00907481092724588,0.00874769797421731
"RB_grades_run_12w",0.005626642998646,0.00489515139477954,0.00920810313075507
"WR3_grades_run_block_12w",0.00545297983073914,0.00427528204360642,0.0105893186003683
"RB_medium_grades_pass_route_12w",0.00537435376483461,0.00555487989445854,0.00920810313075507
"prev_stop_rate_pass",0.00520334976379159,0.00539284078769502,0.00874769797421731
"attendance_pct",0.00500835679495094,0.00668596574150134,0.00736648250460405
"OL1_grades_run_block_12w",0.00499329232994452,0.00541209347338635,0.0069060773480663
"down4_pct",0.00495757326365249,0.00321958071079843,0.0101289134438306
"yardline_1_10",0.00478976102848707,0.0120746185462187,0.0069060773480663
"WR3_short_grades_pass_route_12w",0.00468751015278085,0.0044513225813766,0.00736648250460405
"spread_line",0.00455373927308785,0.00575114064867068,0.00874769797421731
"WR1_medium_grades_pass_route_12w",0.00451629320783745,0.00445810049399716,0.0069060773480663
"overall_win_pct",0.0044467840120229,0.00403455371833943,0.00736648250460405
"temp",0.00438623951515153,0.0053392362468544,0.00644567219152855
"wind",0.00434685733524734,0.00549929926027823,0.00644567219152855
"OL3_grades_pass_block_12w",0.00430985629882246,0.00573393353689881,0.00736648250460405
"prev_shotgun_rate",0.00428262149175231,0.00206225131020221,0.00736648250460405
"def_stop_rate_run",0.00419202127928777,0.00255652206711093,0.00736648250460405
"TE1_medium_grades_pass_route_12w",0.00418841845990359,0.00446420192837449,0.00644567219152855
"DL2_grades_defense_12w",0.00416861084896331,0.00443490683699562,0.00736648250460405
"cover4_rate",0.00392946934579212,0.00488432555452323,0.00644567219152855
"prev_shotgun_success",0.00380546158503731,0.00557767390135359,0.00736648250460405
"S2_grades_defense_12w",0.00376476585230944,0.0033531284031255,0.00874769797421731
"WR2_grades_run_block_12w",0.00375479481398985,0.00221842806143376,0.0069060773480663
"cover2_rate",0.00373263620668426,0.00217329249204896,0.0069060773480663
"WR2_medium_grades_pass_route_12w",0.00358499430487819,0.00218424142782063,0.00644567219152855
"WR2_deep_grades_pass_route_12w",0.00336097421126206,0.00332247926107783,0.00644567219152855
"prev_stop_rate_run",0.00326881233044047,0.00159475628979159,0.00552486187845304
"TE1_short_grades_pass_route_12w",0.00315579821725269,0.00327076218480585,0.00460405156537753
"WR1_grades_run_block_12w",0.00315343238659319,0.00161728386328231,0.00552486187845304
"TE1_grades_pass_block_12w",0.00284847877653852,0.00278220401721876,0.00460405156537753
"OL2_grades_run_block_12w",0.00281949782948525,0.00211220935155988,0.00506445672191529
"attendance_raw",0.00280932054662395,0.00181439684877903,0.00460405156537753
"prev_empty_rate",0.00254784433871943,0.00240601153922355,0.00368324125230203
"LB2_grades_defense_12w",0.00254377734948499,0.00115570207788335,0.00460405156537753
"TE1_deep_grades_pass_route_12w",0.00253688179531763,0.00200591746824077,0.00506445672191529
"OL5_grades_run_block_12w",0.00233012594897769,0.00168784782036336,0.00414364640883978
"WR3_deep_grades_pass_route_12w",0.00206436071595158,0.00135519258487258,0.00414364640883978
"week",0.00205451194092761,0.00164922003732933,0.00460405156537753
"prev_empty_success",0.00205131850021034,0.00277514790873353,0.00322283609576427
"prev_singleback_rate",0.00193271449000619,0.00158224992220521,0.00368324125230203
"WR2_short_grades_pass_route_12w",0.00192171222897802,0.00116692319151672,0.00368324125230203
"prev_singleback_success",0.00191909230121492,0.000835210730900693,0.00414364640883978
"WR3_medium_grades_pass_route_12w",0.00186583024647373,0.000533817071839628,0.00322283609576427
"DL6_present",0.00182566842870507,0.00268065185833166,0.00276243093922652
"QB_deep_grades_pass_12w",0.00181801692369136,0.000832492303217066,0.00368324125230203
"down3_pct",0.0017342745815017,0.00129225535237679,0.00322283609576427
"losing_score_diff",0.00168819292330247,0.00322350253391736,0.00276243093922652
"cover1_rate",0.00167516649890665,0.00221202695786296,0.00322283609576427
"cover0_rate",0.00165109235354887,0.000533773680670469,0.00414364640883978
"prev_win_pct",0.00164426391259956,0.00111159025286785,0.00276243093922652
"singleback_rate",0.00159197577712409,0.00125142894666588,0.00230202578268877
"posteam_timeouts_remaining",0.00156030431977895,0.00354701368743705,0.00276243093922652
"DL3_grades_defense_12w",0.00153375452213215,0.000981854691878248,0.00276243093922652
"RB_grades_pass_block_12w",0.00152063693860594,0.000891879939755048,0.00276243093922652
"LB4_grades_defense_12w",0.00147745981128161,0.00255128011297631,0.00184162062615101
"shotgun_rate",0.00147541028605616,0.00234440961952368,0.00230202578268877
"defteam_prev_game_off_4th_success",0.00128707360857346,0.0011591763804176,0.00276243093922652
"empty_rate",0.00118185802739577,0.000709164068960432,0.00276243093922652
"defteam_timeouts_remaining",0.00109345998982909,0.00150272420128857,0.00184162062615101
"prep_days",0.00109119058208179,0.000872799724557997,0.00184162062615101
"CB3_grades_defense_12w",0.00108288242028764,0.000752544296296393,0.00184162062615101
"S3_grades_defense_12w",0.000990153067897816,0.00128122312197308,0.00184162062615101
"iform_rate",0.000892542754195915,0.000399798710132348,0.00184162062615101
"roof_outdoors",0.000817777313352714,0.000499460942540502,0.00138121546961326
"empty_success",0.000817381333403131,0.00033085458745366,0.00184162062615101
"offense_formation_EMPTY",0.000653919015744294,0.00053769311026549,0.000920810313075506
"is_winning",0.00052170011426456,0.000354215893708459,0.000460405156537753
"iform_success",0.000519133063582341,0.000375894518461673,0.000920810313075506
"winning_score_diff",0.000512627747057141,0.00143373873903265,0.000920810313075506
"yardline_21_30",0.000490754819545988,0.0002400349897768,0.000920810313075506
"singleback_success",0.000478976479687632,0.000587144271645532,0.000920810313075506
"season_2019",0.000453480305729946,0.0011263905053827,0.000920810313075506
"LB3_grades_defense_12w",0.00039133478176937,0.00020504939788267,0.000460405156537753
"shotgun_success",0.000325195482994028,0.000123404673152344,0.000920810313075506
"season_2022",0.000298900231068597,0.000608051976540692,0.000460405156537753
"is_first_half",0.000270533381923542,0.000158284761931862,0.000460405156537753
"RB2_present",0.000221076338594413,0.000112511463746274,0.000460405156537753
"defteam_prev_game_off_4th_fail",0.000206032913761293,6.96292347045863e-05,0.000460405156537753
"DL5_present",0.000204138550467745,7.28169640404705e-05,0.000460405156537753
"CB4_present",0.000143623243659122,5.34377549656239e-05,0.000460405156537753
"CB3_present",0.000107677176776657,1.28513427681401e-05,0.000460405156537753
"season_2018",8.83243894831532e-05,9.32299360918345e-06,0.000460405156537753
