"Feature","Gain","Cover","Frequency"
"ydstogo",0.372561853945399,0.261716210854925,0.141062801932367
"rush_attempt",0.147032030542902,0.131039924736507,0.0685990338164251
"total_line",0.0294044926241272,0.0415666933271819,0.0338164251207729
"starter_OL1_grades_pass_block_12w",0.0194593186694607,0.0363774298368527,0.0309178743961353
"vegas_wp",0.0174145100413609,0.0342998289030292,0.0280193236714976
"time_in_half",0.0160067711564972,0.0340254251313638,0.0241545893719807
"team_win_pct",0.0141005008483539,0.0195515967020197,0.0222222222222222
"down2_pct",0.0124261606820145,0.0129661501150229,0.0183574879227053
"starter_WR2_deep_grades_pass_route_12w",0.0116609822215824,0.0148060130804144,0.0193236714975845
"starter_OL5_grades_run_block_12w",0.0112730575206035,0.00734716968760959,0.0193236714975845
"starter_OL5_grades_pass_block_12w",0.0112282034999567,0.0202009715632696,0.0164251207729469
"cover3_rate",0.00949701414833291,0.0110366484751449,0.0154589371980676
"starter_WR1_medium_grades_pass_route_12w",0.00947307495775545,0.00835162840781916,0.0144927536231884
"starter_S1_grades_defense_12w",0.00935583814819431,0.0102023374661553,0.0144927536231884
"starter_DL4_grades_defense_12w",0.0092744917325117,0.0108488133922504,0.0144927536231884
"two_man_rate",0.00926691692510453,0.0100085200758248,0.01256038647343
"prev_iform_success",0.00922513571215274,0.00957512555168563,0.01256038647343
"prevent_rate",0.00906033094230163,0.0122841752479976,0.0144927536231884
"starter_WR1_deep_grades_pass_route_12w",0.0090526314282464,0.0206949388094435,0.0164251207729469
"starter_TE1_grades_pass_block_12w",0.00850081886528923,0.0106346536280639,0.0144927536231884
"down1_pct",0.00798571401819898,0.0120622252463183,0.0115942028985507
"starter_WR3_short_grades_pass_route_12w",0.00792784385330679,0.0068883912602624,0.0106280193236715
"yardline_1_10",0.00768473048583309,0.0179181159061894,0.01256038647343
"starter_OL4_grades_run_block_12w",0.00767703725196876,0.0081104731466636,0.0115942028985507
"starter_DL3_grades_defense_12w",0.00746254002295996,0.0076365983917874,0.0115942028985507
"avg_pass_rushers",0.00722015426046165,0.00478307641711486,0.01256038647343
"starter_LB1_grades_defense_12w",0.00719270848043127,0.0134710556727045,0.0144927536231884
"starter_CB3_grades_defense_12w",0.00709650178730123,0.00501483728399748,0.01256038647343
"starter_OL2_grades_pass_block_12w",0.00695710577270045,0.0105817112484326,0.0106280193236715
"avg_box_defenders",0.00607681410440479,0.00870704693091932,0.0106280193236715
"prev_iform_rate",0.00561146765847679,0.00549405736889559,0.00869565217391304
"starter_CB1_grades_defense_12w",0.00555574217878025,0.01061687255043,0.00869565217391304
"starter_OL3_grades_run_block_12w",0.00529552964579982,0.00782355367984146,0.00966183574879227
"starter_RB_medium_grades_pass_route_12w",0.00521036128536363,0.00619897866863896,0.00869565217391304
