"Feature","Gain","Cover","Frequency"
"ydstogo",0.341813754573914,0.193743651675103,0.0951526032315978
"vegas_wp",0.157098634177103,0.102759000120308,0.0771992818671454
"time_in_half",0.111758142451638,0.0942560234462453,0.103231597845601
"is_first_half",0.0660335878496423,0.0423258318131928,0.0498204667863555
"yardline_31_40",0.0570488357735482,0.0666049767412742,0.0385996409335727
"losing_score_diff",0.0346696483119703,0.0404263507284071,0.0394973070017953
"yardline_71_80",0.0256085145099251,0.0439654755918463,0.0291741472172352
"yardline_41_50",0.0254553022566115,0.0478538048856759,0.0237881508078995
"yardline_61_70",0.0237572834874108,0.0301208180681985,0.033213644524237
"yardline_81_90",0.0150953093865218,0.0296501611238397,0.0246858168761221
"iform_rate",0.0116499571215866,0.0277655915926909,0.0166068222621185
"iform_success",0.00913748988220128,0.019804282911171,0.0175044883303411
"is_losing",0.00725669887528599,0.00205487480331771,0.00673249551166966
"posteam_timeouts_remaining",0.00618220845578568,0.0138964414937936,0.0125673249551167
"yardline_1_10",0.005654855577149,0.0127982798939308,0.00897666068222621
"cover2_rate",0.0052035836206601,0.0108839209342507,0.0125673249551167
"prev_singleback_success",0.00385498613617778,0.0174899041051395,0.0112208258527828
"shotgun_success",0.00287414587836995,0.0118585384540936,0.00942549371633752
"empty_rate",0.00254500080028171,0.0101497417647806,0.00583482944344704
"prev_empty_rate",0.00220690266831993,0.00707462113269324,0.00942549371633752
"empty_success",0.00217537997917438,0.00890546319797874,0.00763016157989228
"singleback_success",0.00209637463497153,0.00649137208701959,0.00673249551166966
"temp",0.00209011692743257,0.00371079296334906,0.00807899461400359
"starter_WR1_deep_grades_pass_route_12w",0.00204024186699349,0.0122832645615098,0.00628366247755835
"singleback_rate",0.00197116865831503,0.00546948819388815,0.00583482944344704
"def_stop_rate_pass",0.00193555746845314,0.00965349187935677,0.00807899461400359
"down4_pct",0.00180397864532411,0.00277291924205829,0.00718132854578097
"total_line",0.00172840382691099,0.00110450619592473,0.00807899461400359
"yardline_91_100",0.00160656760085307,0.0050699775933522,0.0040394973070018
"starter_WR1_grades_run_block_12w",0.00159441937478718,0.00421229470028654,0.00718132854578097
"starter_S3_grades_defense_12w",0.00153925807486462,0.00162862908780691,0.00673249551166966
"prev_stop_rate_pass",0.00142193390585522,0.00166734556064223,0.00628366247755835
"starter_CB3_grades_defense_12w",0.00140625871512484,0.00216523380076184,0.00583482944344704
"yardline_21_30",0.00137641542483279,0.00105893000194881,0.00448833034111311
"starter_WR3_medium_grades_pass_route_12w",0.00126133633145606,0.00154110790704623,0.00538599640933573
"starter_WR2_deep_grades_pass_route_12w",0.00126120489675696,0.000773662341784914,0.00673249551166966
"cover3_rate",0.00124525962374855,0.00194166864561772,0.00493716337522442
"prev_stop_rate_run",0.00123228592365779,0.0040910631304831,0.00583482944344704
"cover1_rate",0.00117241715107209,0.00341688438302661,0.00448833034111311
"p_player_26_punting_grades_grades_punter_12w",0.00115151475961535,0.00124740459285347,0.00583482944344704
"starter_LB3_grades_defense_12w",0.00112424433027263,0.00240929159979924,0.00493716337522442
"Matt_LaFleur",0.00112020264648925,0.00362132857720497,0.00269299820466786
"starter_OL5_grades_run_block_12w",0.00110939935536775,0.00412659681697213,0.00448833034111311
"down3_pct",0.00108204798148474,0.00111388841133881,0.00359066427289048
"starter_OL3_grades_run_block_12w",0.00105924840227522,0.000760436031782781,0.00493716337522442
"avg_box_defenders",0.00105286774184955,0.00159148041850819,0.00493716337522442
"starter_CB2_grades_defense_12w",0.00104009486703329,0.00238978507529708,0.00493716337522442
"winning_score_diff",0.00103318539565868,0.00205133839017372,0.0040394973070018
"starter_OL1_grades_run_block_12w",0.00101710067364025,0.00184203748903976,0.00493716337522442
"starter_WR1_short_grades_pass_route_12w",0.00101285108527439,0.00100503588437626,0.0040394973070018
"team_win_pct",0.00100606022570141,0.00408635159052163,0.00448833034111311
"cover0_rate",0.00100213681979004,0.00108911537345662,0.0040394973070018
"starter_DL1_grades_defense_12w",0.00100153741611907,0.0021153827291428,0.00583482944344704
"starter_TE1_grades_pass_block_12w",0.000999550601655833,0.000772912699427229,0.00538599640933573
"starter_TE1_grades_run_block_12w",0.000986532956426862,0.00302656836956482,0.0040394973070018
